player_id,role,fname,lname,name,mapped_role,position,f_pos
33b67317,Unknown,Bilal,Zalmai,Mahammad Bilal Zalmai,,Allrounder,Allrounder
6e1b1ec0,Opening batter,Michael,Vaughan,Michael Paul Vaughan,Batter,,Batter
d9b3ff0a,Unknown,Holly,Topp,Holly Erole Topp,,Batsman,Wicketkeeper
f543b251,Middle-order batter,Het,Patel,Het Jignesh Patel,Batter,,Wicketkeeper
0e6c2f00,Unknown,Alistair,Ifill,Alistair Fitzwareen Ifill,,Batsman,Batter
a3357a27,Unknown,Vinod,Seshan,Vinod Seshan,,,
1f1b4c89,Bowler,Josh,Tongue,Joshua Charles Tongue,Bowler,,Bowler
e21475a5,Allrounder,Jivana,Aras,Jivana Lee Aras,Allrounder,,Allrounder
b1ad996b,Bowler,Mayank,Yadav,Mayank Prabhu Yadav,Bowler,,Bowler
4641d20b,Unknown,Milvi,Pugi,Milvi Pugi,,,Allrounder
6a88d66d,Unknown,Abdul,Baluch,Abdul Naser Baluch,,Allrounder,Allrounder
19f6f02b,Unknown,Phil,Weston,William Philip Christopher Weston,,,
e1ac7789,Unknown,Abdul,Muqeet,Abdul Muqeet,,,
8db7f47f,Bowler,Reece,Topley,Reece James William Topley,Bowler,,Bowler
40254316,Bowler,Raghuram,Bhat,Adwai Raghuram Bhat,Bowler,,Bowler
67412324,Unknown,Alice,Fillie,Alice Fillie,,,Allrounder
7662cf7a,Bowler,Bilawal,Bhatti,Bilawal Bhatti,Bowler,,Bowler
17751f98,Unknown,Hannah,Mechem,Hannah Eulenkamp,,,Allrounder
9d1c62d7,Unknown,Russell,Warren,Russell John Warren,,,
2f43ee81,Allrounder,Johann,Layne,Johann Layne,Allrounder,,Allrounder
9948e262,Top-order batter,Rassie,Dussen,Hendrik Erasmus van der Dussen,Batter,,Batter
494a0503,Allrounder,Abdul,Nasir,Abdul Nasir,Allrounder,,Allrounder
fb16f6e7,Batter,Qasim,Sheikh,Mohammad Qasim Sheikh,Batter,,Batter
bb20e182,Bowling allrounder,Petrus,Burger,Petrus Burger,Allrounder,,Allrounder
37138918,Allrounder,Afif,Hossain,Afif Hossain Dhrubo,Allrounder,,Allrounder
fa760ccd,Unknown,Ryan,Watson,Ryan J Watson,,Batsman,Batter
9a17b338,Middle-order batter,Allan,Border,Allan Robert Border,Batter,,Batter
47bcaf7a,Allrounder,Jemma,Barsby,Jemma Louise Barsby,Allrounder,,Allrounder
5f87084c,Unknown,James,Langridge,James Langridge,,,
05c3780a,Unknown,Abdul,Nasir,Abdul Nasir,,Allrounder,Allrounder
96786fb6,Unknown,Heather,Whelan,Heather Elizabeth Whelan,,,Allrounder
3abd4fc8,Unknown,Alan,Butcher,Alan Raymond Butcher,,,
fd24c41e,Unknown,John,Watkins,John Cecil Watkins,,,
1b89d09e,Unknown,Harry,Boyle,Henry Frederick Boyle,,,
4d4e6658,Unknown,Ashish,Singh,Ashish Singh,,,Allrounder
20b559ab,Unknown,Paul,Byron,Paul Byron,,,
5d857fee,Unknown,Alan,Kippax,Alan Falconer Kippax,,,
35824e03,Unknown,Abdul,Qadir,Abdul Qadir,,,Wicketkeeper
cf34fbef,Unknown,Muhammad,Qureshi,Muhammad Qureshi,,,
bb1c1950,Unknown,Ahillen,Beadle,Ahillen Rajakumaran Beadle,,Bowler,Bowler
0c160e0d,Unknown,Afif,Khattak,Afif Khan Khattak,,Batsman,Batter
97e0eed2,Unknown,Junicar,Valentine,Junicar Claudette Valentine,,,
54a3d69f,Unknown,Ruan,Kanai,Ruan Kanai,,,Allrounder
0b1dadd2,Bowler,Abdul,Qadir,Abdul Qadir Khan,Bowler,,Bowler
7eb7b47b,Unknown,Petero,Cabebula,Petero Cabebula,,,Allrounder
